Logradouro; Bairro; Cidade; Base; Tecnologia; CEP; Velocidade 
Rua Francisco da Silva Fontes;Vila Paulista II;São Paulo;Guaianazes;FTTH;08490-680;35 / 50 / 100 / 150 / 300 MB
Rua Camaçari;Vila Paulista II;São Paulo;Guaianazes;FTTH;08490-685;35 / 50 / 100 / 150 / 300 MB
Rua Caetité;Vila Paulista II;São Paulo;Guaianazes;FTTH;08490-687;35 / 50 / 100 / 150 / 300 MB
Rua Jasmim Estrela;Vila Paulista I;São Paulo;Guaianazes;FTTH;08490-623;35 / 50 / 100 / 150 / 300 MB
Rua Canção do Sonho Bom;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08474-190;35 / 50 / 100 / 150 / 300 MB
Rua Caminhos de Minas;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08474-180;35 / 50 / 100 / 150 / 300 MB
Rua Cadernos de Viagem;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08474-170;35 / 50 / 100 / 150 / 300 MB
Rua Cigarro de Palha;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08474-200;35 / 50 / 100 / 150 / 300 MB
Rua Milagre dos Peixes;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08474-120;35 / 50 / 100 / 150 / 300 MB
Rua Ipemirim;Conjunto Habitacional Sitio Conceição;São Paulo;Guaianazes;FTTH;08470-065;35 / 50 / 100 / 150 / 300 MB
Rua Ferraz de Araújo;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08330-020;35 / 50 / 100 / 150 / 300 MB
Rua Inácio Monteiro - de 126/127 a 1128/1129;Vila Hortência;São Paulo;Guaianazes;FTTH;08490-006;35 / 50 / 100 / 150 / 300 MB
Rua Barqueiro de Vela;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08474-140;35 / 50 / 100 / 150 / 300 MB
Rua Areia da Ampulheta;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08474-110;35 / 50 / 100 / 150 / 300 MB
Rua Ave de Prata;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08474-130;35 / 50 / 100 / 150 / 300 MB
Travessa Dança das Luzes;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08474-121;35 / 50 / 100 / 150 / 300 MB
Rua Bandeira do Divino;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08474-131;35 / 50 / 100 / 150 / 300 MB
Rua Brasil Nativo;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08474-150;35 / 50 / 100 / 150 / 300 MB
Rua Arquiteto Professor Chaves;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08474-135;35 / 50 / 100 / 150 / 300 MB
Rua Cabocla da Lua Nova;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08474-160;35 / 50 / 100 / 150 / 300 MB
Rua Jorge Carlos de Almeida;Jardim Santo André;São Paulo;Mauá;FTTH;08390-355;35 / 50 / 100 / 150 / 300 MB
Rua Servidão V;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-760;35 / 50 / 100 / 150 / 300 MB
Rua A;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-685;35 / 50 / 100 / 150 / 300 MB
Rua Alcides Vaz Pedroso;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-120;35 / 50 / 100 / 150 / 300 MB
Rua Ataulfo Alves;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-641;35 / 50 / 100 / 150 / 300 MB
Rua B;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-680;35 / 50 / 100 / 150 / 300 MB
Rua dos Bananais;Jardim Elizabeth;São Paulo;Mauá;FTTH;08321-076;35 / 50 / 100 / 150 / 300 MB
Rua Carlos Gomes;Jardim Elizabeth;São Paulo;Mauá;FTTH;08321-078;35 / 50 / 100 / 150 / 300 MB
Rua David Assunção Lopes;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-647;35 / 50 / 100 / 150 / 300 MB
Rua Fortaleza;Jardim Elizabeth;São Paulo;Mauá;FTTH;08321-072;35 / 50 / 100 / 150 / 300 MB
Rua Lírio da Paz;Jardim Elizabeth;São Paulo;Mauá;FTTH;08321-082;35 / 50 / 100 / 150 / 300 MB
Rua Nossa Senhora Aparecida;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-800;35 / 50 / 100 / 150 / 300 MB
Rua Particular Um;Jardim Elizabeth;São Paulo;Mauá;FTTH;08321-010;35 / 50 / 100 / 150 / 300 MB
Rua Particular Dois;Jardim Elizabeth;São Paulo;Mauá;FTTH;08321-020;35 / 50 / 100 / 150 / 300 MB
Rua Particular Quatro;Jardim Elizabeth;São Paulo;Mauá;FTTH;08321-035;35 / 50 / 100 / 150 / 300 MB
Rua Particular Seis;Jardim Elizabeth;São Paulo;Mauá;FTTH;08321-050;35 / 50 / 100 / 150 / 300 MB
Rua Pernambuco;Jardim Elizabeth;São Paulo;Mauá;FTTH;08321-074;35 / 50 / 100 / 150 / 300 MB
Rua Piauí;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-646;35 / 50 / 100 / 150 / 300 MB
Rua Samambaia Verde;Jardim Elizabeth;São Paulo;Mauá;FTTH;08321-084;35 / 50 / 100 / 150 / 300 MB
Rua Santa Clara;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-830;35 / 50 / 100 / 150 / 300 MB
Rua Santa Edwirges;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-750;35 / 50 / 100 / 150 / 300 MB
Rua Santa Luzia;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-850;35 / 50 / 100 / 150 / 300 MB
Rua Santa Madalena;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-700;35 / 50 / 100 / 150 / 300 MB
Rua Santa Maria;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-710;35 / 50 / 100 / 150 / 300 MB
Rua de Santo André Avelino;Parque São Rafael;São Paulo;Mauá;FTTH;08320-280;35 / 50 / 100 / 150 / 300 MB
Rua São Benedito;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-690;35 / 50 / 100 / 150 / 300 MB
Rua São Carlos;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-840;35 / 50 / 100 / 150 / 300 MB
Rua São Francisco;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-780;35 / 50 / 100 / 150 / 300 MB
Rua São Geraldo;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-810;35 / 50 / 100 / 150 / 300 MB
Rua São João;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-740;35 / 50 / 100 / 150 / 300 MB
Rua São José;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-860;35 / 50 / 100 / 150 / 300 MB
Rua São Luís;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-720;35 / 50 / 100 / 150 / 300 MB
Rua São Manuel;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-820;35 / 50 / 100 / 150 / 300 MB
Rua São Nicolau;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-770;35 / 50 / 100 / 150 / 300 MB
Rua São Paulo;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-790;35 / 50 / 100 / 150 / 300 MB
Rua São Pedro;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-730;35 / 50 / 100 / 150 / 300 MB
Rua Lourenço Testa;Jardim Alto Paulistano;São Paulo;Mauá;FTTC;08347-670;8 / 12 / 20 / 35 MB
Rua Goiás;Jardim Alto Paulistano;São Paulo;Mauá;FTTC;08347-647;8 / 12 / 20 / 35 MB
Rua Paraná;Jardim Alto Paulistano;São Paulo;Mauá;FTTC;08347-605;8 / 12 / 20 / 35 MB
Rua de Servidão (Até o N° 50);Jardim Alto Paulistano;São Paulo;Mauá;FTTC;08347-680;8 / 12 / 20 / 35 MB
Rua Ilha da Lage;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-130;35 / 50 / 100 / 150 / 300 MB
Rua Regresso Feliz;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-210;35 / 50 / 100 / 150 / 300 MB
Rua José Francisco Maia;Conjunto Residencial Prestes Maia;São Paulo;Guaianazes;FTTH;08490-260;35 / 50 / 100 / 150 / 300 MB
Rua Igarapé Serra Encantada;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-195;35 / 50 / 100 / 150 / 300 MB
Rua Igarapé Palmeira;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-080;35 / 50 / 100 / 150 / 300 MB
Rua Igarapé da Idéia;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-215;35 / 50 / 100 / 150 / 300 MB
Rua Soares da Paz;Jardim Nova Conquista;São Paulo;Mauá;FTTC;08346-430;8 / 12 / 20 / 35 MB
Rua Cachoeira Quatá;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-160;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira do Javari;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-060;35 / 50 / 100 / 150 / 300 MB
Rua Arroio Dom Marcos;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-360;35 / 50 / 100 / 150 / 300 MB
Rua Arnaldo Bonaventura;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-210;35 / 50 / 100 / 150 / 300 MB
Rua Ernesto Cerreti;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-220;35 / 50 / 100 / 150 / 300 MB
Rua Santo Rizzo;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-250;35 / 50 / 100 / 150 / 300 MB
Rua Ernesto Gould;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-230;35 / 50 / 100 / 150 / 300 MB
Rua Jorge Riguetti;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-240;35 / 50 / 100 / 150 / 300 MB
Rua Andréa Pacini;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-270;35 / 50 / 100 / 150 / 300 MB
Rua Paulo Menkitz;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-235;35 / 50 / 100 / 150 / 300 MB
Rua Santa Etelvina;Chácara Santa Etelvina;São Paulo;Guaianazes;FTTH;08490-570;35 / 50 / 100 / 150 / 300 MB
Rua Santa Maria de Trastevere;Chácara Santa Etelvina;São Paulo;Guaianazes;FTTH;08490-590;35 / 50 / 100 / 150 / 300 MB
Rua Waldemar Ferreira da Silva;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-280;35 / 50 / 100 / 150 / 300 MB
Rua Ernestina Lesina;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-260;35 / 50 / 100 / 150 / 300 MB
Rua dos Têxteis (N° 1 ao 1450);Chácara Santa Etelvina;São Paulo;Guaianazes;FTTH;08490-600;35 / 50 / 100 / 150 / 300 MB
Rua dos Têxteis (N° 1 ao 1450);Chácara Santa Etelvina;São Paulo;Guaianazes;FTTH;08490-585;35 / 50 / 100 / 150 / 300 MB
Rua Argote;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-290;35 / 50 / 100 / 150 / 300 MB
Rua Apóstolo André;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-550;35 / 50 / 100 / 150 / 300 MB
Rua Apóstolo Simão Pedro;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-260;35 / 50 / 100 / 150 / 300 MB
Rua São João de Ávila;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-300;35 / 50 / 100 / 150 / 300 MB
Rua São Bertino;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-290;35 / 50 / 100 / 150 / 300 MB
Rua São Clodoaldo;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-280;35 / 50 / 100 / 150 / 300 MB
Rua Jacinta Marto;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-270;35 / 50 / 100 / 150 / 300 MB
Rua Santa Flávia Domitila;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-310;35 / 50 / 100 / 150 / 300 MB
Rua Eduardo Sanchez (N° 1 ao 245);Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-180;35 / 50 / 100 / 150 / 300 MB
Rua 7 G;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-250;35 / 50 / 100 / 150 / 300 MB
Rua Apóstolo Simão Cananeu;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-240;35 / 50 / 100 / 150 / 300 MB
Rua Apóstolo Tomé;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-230;35 / 50 / 100 / 150 / 300 MB
Rua Apóstolo Mateus;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-175;35 / 50 / 100 / 150 / 300 MB
Rua Moisés de Corena;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-170;35 / 50 / 100 / 150 / 300 MB
Rua Apóstolo Bartolomeu;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-530;35 / 50 / 100 / 150 / 300 MB
Rua Apóstolo Filipe;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-520;35 / 50 / 100 / 150 / 300 MB
Rua Apóstolo Judas Tadeu;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-510;35 / 50 / 100 / 150 / 300 MB
Rua Apóstolo Tiago Menor;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-210;35 / 50 / 100 / 150 / 300 MB
Rua Apóstolo João;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-200;35 / 50 / 100 / 150 / 300 MB
Rua Doze Apóstolos;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-190;35 / 50 / 100 / 150 / 300 MB
Rua Alvorada;Chácara Santa Etelvina;São Paulo;Guaianazes;FTTH;08490-556;35 / 50 / 100 / 150 / 300 MB
Avenida Naylor de Oliveira;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-800;35 / 50 / 100 / 150 / 300 MB
Rua Santa Adelaide;Santa Etelvina;São Paulo;Guaianazes;FTTH;08490-560;35 / 50 / 100 / 150 / 300 MB
Travessa dos Construtores;Chácara Santa Etelvina;São Paulo;Guaianazes;FTTH;08490-551;35 / 50 / 100 / 150 / 300 MB
Rua Frei Aníbal de Gênova;Chácara Santa Etelvina;São Paulo;Guaianazes;FTTH;08490-550;35 / 50 / 100 / 150 / 300 MB
Rua Apóstolo Tiago Maior;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08475-220;35 / 50 / 100 / 150 / 300 MB
Rua Velho Tema;Conjunto Habitacional Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-045;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira das Garças;Conjunto Habitacional Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-010;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira do Sol;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08475-030;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Carlos Mingues Lopes;Conjunto Habitacional Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-270;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira das Setes Quedas;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08475-090;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira Duas Araras;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08475-040;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira Duas Araras;Conjunto Habitacional Barro Branco I;São Paulo;Guaianazes;FTTH;08475-160;35 / 50 / 100 / 150 / 300 MB
Travessa André Molina Enriquez;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-623;35 / 50 / 100 / 150 / 300 MB
Travessa Artur Colautti;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-529;35 / 50 / 100 / 150 / 300 MB
Rua Edimundo Audran;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-532;35 / 50 / 100 / 150 / 300 MB
Travessa Giovanni Battista Moroni;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-522;35 / 50 / 100 / 150 / 300 MB
Travessa Giórgio Vasari;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-523;35 / 50 / 100 / 150 / 300 MB
Travessa George Pullman;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-524;35 / 50 / 100 / 150 / 300 MB
Travessa Francisco Domingos da Silva;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-515;35 / 50 / 100 / 150 / 300 MB
Travessa Esteban Salas;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-535;35 / 50 / 100 / 150 / 300 MB
Rua Alfonso Asturaro;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-591;35 / 50 / 100 / 150 / 300 MB
Rua Numa Pompílio;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-572;35 / 50 / 100 / 150 / 300 MB
Travessa Otacílio Aureliano;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-502;35 / 50 / 100 / 150 / 300 MB
Travessa Pasqual Rossi;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-490;35 / 50 / 100 / 150 / 300 MB
Travessa Octávio Pereira;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-501;35 / 50 / 100 / 150 / 300 MB
Travessa Paulo Cézar de Araújo;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-505;35 / 50 / 100 / 150 / 300 MB
Travessa Pedro Allende;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-512;35 / 50 / 100 / 150 / 300 MB
Travessa Odair Pacheco Pedroso;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-495;35 / 50 / 100 / 150 / 300 MB
Rua Ricardo da Costa;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-620;35 / 50 / 100 / 150 / 300 MB
Rua Quinta Sinfonia;Conjunto Habitacional Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-100;35 / 50 / 100 / 150 / 300 MB
Rua Conjunto Sítio Conceição;Conjunto Habitacional Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-090;35 / 50 / 100 / 150 / 300 MB
Rua Doce Coração;Conjunto Habitacional Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-070;35 / 50 / 100 / 150 / 300 MB
Rua Sonata do Adeus;Conjunto Habitacional Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-080;35 / 50 / 100 / 150 / 300 MB
Rua Wilson Fernando S.Carvalho;Conjunto Habitacional Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-000;35 / 50 / 100 / 150 / 300 MB
Rua do Pai Nosso;Conjunto Habitacional Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-020;35 / 50 / 100 / 150 / 300 MB
Rua Reinado do Cavalo Marinho;Conjunto Habitacional Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-030;35 / 50 / 100 / 150 / 300 MB
Rua dos Pensamentos Poéticos;Conjunto Habitacional Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-040;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira do Resplendor;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08475-060;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira da Sorte;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08475-050;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira Triunfo;Conjunto Habitacional Castro Alves;São Paulo;Guaianazes;FTTH;08475-080;35 / 50 / 100 / 150 / 300 MB
Rua Alexandre Davidenko;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-592;35 / 50 / 100 / 150 / 300 MB
Rua Alexandre Davidenko;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-593;35 / 50 / 100 / 150 / 300 MB
Rua Alexandre Davidenko;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-603;35 / 50 / 100 / 150 / 300 MB
Travessa Baltasar Gracian;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-527;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira do Campo Grande;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08475-000;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira do Campo Grande;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08475-020;35 / 50 / 100 / 150 / 300 MB
Travessa Michel Lambert;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-553;35 / 50 / 100 / 150 / 300 MB
Travessa Miguel Meirelles;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-554;35 / 50 / 100 / 150 / 300 MB
Travessa Murilo Araújo;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-555;35 / 50 / 100 / 150 / 300 MB
Travessa Nicola Arienzo;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-556;35 / 50 / 100 / 150 / 300 MB
Travessa Manoel Francisco Lisboa;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-557;35 / 50 / 100 / 150 / 300 MB
Travessa Marco Antônio Fellini;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-558;35 / 50 / 100 / 150 / 300 MB
Travessa Maria José Correia;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-559;35 / 50 / 100 / 150 / 300 MB
Travessa Maria Luísa Rivalta;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-561;35 / 50 / 100 / 150 / 300 MB
Travessa Maurício Rocha e Silva;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-530;35 / 50 / 100 / 150 / 300 MB
Rua Lorenzo Fiorentini;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-566;35 / 50 / 100 / 150 / 300 MB
Travessa José Marciano Pontes;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-573;35 / 50 / 100 / 150 / 300 MB
Travessa Júlio César Brera;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-574;35 / 50 / 100 / 150 / 300 MB
Travessa José Januário dos Santos;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-585;35 / 50 / 100 / 150 / 300 MB
Rua Jerônimo de Latorre;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-582;35 / 50 / 100 / 150 / 300 MB
Travessa José Cândido de Andrade Murici;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-580;35 / 50 / 100 / 150 / 300 MB
Travessa Antônio Carlos Piccino;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-575;35 / 50 / 100 / 150 / 300 MB
Travessa João Batista Dancla;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-570;35 / 50 / 100 / 150 / 300 MB
Travessa John Emerson;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-571;35 / 50 / 100 / 150 / 300 MB
Travessa Ferdinando Hiller;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-626;35 / 50 / 100 / 150 / 300 MB
Travessa Jean Barriere;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-552;35 / 50 / 100 / 150 / 300 MB
Travessa Eugênio Alenev;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-625;35 / 50 / 100 / 150 / 300 MB
Travessa Jean Ruel;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-629;35 / 50 / 100 / 150 / 300 MB
Rua Andréas Clamer;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-545;35 / 50 / 100 / 150 / 300 MB
Travessa Henrique Campaiola;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-540;35 / 50 / 100 / 150 / 300 MB
Travessa Giusepe Amadori;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-541;35 / 50 / 100 / 150 / 300 MB
Rua Édson Chagas;Jardim Pérola I;São Paulo;Guaianazes;FTTH;08474-320;35 / 50 / 100 / 150 / 300 MB
Rua Mariano Arista;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-595;35 / 50 / 100 / 150 / 300 MB
Rua Nicolas Arista;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-600;35 / 50 / 100 / 150 / 300 MB
Rua Pauline Caro;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-590;35 / 50 / 100 / 150 / 300 MB
Rua Haroldo Fraler;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-584;35 / 50 / 100 / 150 / 300 MB
Rua Patrício Teixeira;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-578;35 / 50 / 100 / 150 / 300 MB
Rua Tomás Cerqueira;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-576;35 / 50 / 100 / 150 / 300 MB
Rua Salvador Vigano;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-605;35 / 50 / 100 / 150 / 300 MB
Rua Sebastião Rodolfo Dalgado;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-610;35 / 50 / 100 / 150 / 300 MB
Rua Silva Bastos;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-615;35 / 50 / 100 / 150 / 300 MB
Rua Roberto Garcia Morillo;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-577;35 / 50 / 100 / 150 / 300 MB
Rua Giorgio Mortara;Jardim Pérola I;São Paulo;Guaianazes;FTTH;08474-380;35 / 50 / 100 / 150 / 300 MB
Rua Fausto Carlos Barreto;Jardim Pérola I;São Paulo;Guaianazes;FTTH;08474-360;35 / 50 / 100 / 150 / 300 MB
Rua Eugênio Gomes;Jardim Pérola I;São Paulo;Guaianazes;FTTH;08474-350;35 / 50 / 100 / 150 / 300 MB
Rua Felipe Augusto Fidanza;Jardim Pérola I;São Paulo;Guaianazes;FTTH;08474-370;35 / 50 / 100 / 150 / 300 MB
Rua das Margaridas;Jardim Pérola III;São Paulo;Guaianazes;FTTH;08473-862;35 / 50 / 100 / 150 / 300 MB
Rua Eduardo Reuter;Conjunto Habitacional Barro Branco II;São Paulo;Guaianazes;FTTH;08473-533;35 / 50 / 100 / 150 / 300 MB
Rua Projetada;Jardim dos Pereiras;São Paulo;Guaianazes;FTTH;08473-775;35 / 50 / 100 / 150 / 300 MB
Rua Álvaro Borges dos Reis;Jardim Pérola I;São Paulo;Guaianazes;FTTH;08474-300;35 / 50 / 100 / 150 / 300 MB
Rua Berilo da Fonseca Neves;Jardim Pérola I;São Paulo;Guaianazes;FTTH;08474-310;35 / 50 / 100 / 150 / 300 MB
