Logradouro; Bairro; Cidade; Base; Tecnologia; CEP; Velocidade 
Rua Barão Antônio Luís de Tefé ;Vila Hortência;São Paulo;Guaianazes;FTTH;08490-011;35 / 50 / 100 / 150 / 300 MB
Avenida Doutor Guilherme de Abreu Sodré ;Vila Marilena;São Paulo;Guaianazes;FTTH;08490-010;35 / 50 / 100 / 150 / 300 MB
Rua Inácio Monteiro ;Jardim São Paulo;São Paulo;Guaianazes;FTTH;08490-000;35 / 50 / 100 / 150 / 300 MB
Avenida José Higino Neves ;Jardim São Paulo;São Paulo;Guaianazes;FTTH;08461-650;35 / 50 / 100 / 150 / 300 MB
Rua Vitalina Maria de Jesus Schalch ;Jardim São Paulo;São Paulo;Guaianazes;FTTH;08490-480;35 / 50 / 100 / 150 / 300 MB
Rua Elias Alasmar ;Jardim São Paulo;São Paulo;Guaianazes;FTTH;08490-420;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira Camaleão ;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-150;35 / 50 / 100 / 150 / 300 MB
Travessa Barão de Maurício Matias ;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-750;35 / 50 / 100 / 150 / 300 MB
Rua Barão Monteiro de Tremembé;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-723;35 / 50 / 100 / 150 / 300 MB
Rua do Cobre;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08490-003;35 / 50 / 100 / 150 / 300 MB
Rua Barão Francisco de Aracagi ;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-726;35 / 50 / 100 / 150 / 300 MB
Travessa Barão Ferraz de Uruguaiana ;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-780;35 / 50 / 100 / 150 / 300 MB
Rua Barão Antônio de Bemfica ;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-724;35 / 50 / 100 / 150 / 300 MB
Rua Igarapé Santo Inácio ;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-350;35 / 50 / 100 / 150 / 300 MB
Rua Tapuraíba;Parque Central;São Paulo;Guaianazes;FTTH;08420-450;35 / 50 / 100 / 150 / 300 MB
Rua Amongeaba;Parque Central;São Paulo;Guaianazes;FTTH;08420-460;35 / 50 / 100 / 150 / 300 MB
Rua Mármore;Parque Central;São Paulo;Guaianazes;FTTH;08420-470;35 / 50 / 100 / 150 / 300 MB
Rua Pegmatito;Parque Central;São Paulo;Guaianazes;FTTH;08420-480;35 / 50 / 100 / 150 / 300 MB
Rua Guiticoroia;Parque Central;São Paulo;Guaianazes;FTTH;08420-490;35 / 50 / 100 / 150 / 300 MB
Avenida Ribeirão Itaquera;Parque Central;São Paulo;Guaianazes;FTTH;08420-500;35 / 50 / 100 / 150 / 300 MB
Estrada Itaquera-Guaianazes;Parque Central;São Paulo;Guaianazes;FTTH;08420-495;35 / 50 / 100 / 150 / 300 MB
Rua Brasília de Minas;Vila Cosmopolita;São Paulo;Guaianazes;FTTH;08421-100;35 / 50 / 100 / 150 / 300 MB
Rua Alto Beni;Vila Cosmopolita;São Paulo;Guaianazes;FTTH;08421-130;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Luis de Godoi;Vila Cosmopolita;São Paulo;Guaianazes;FTTH;08421-150;35 / 50 / 100 / 150 / 300 MB
Rua Rola Cabocla;Vila Cosmopolita;São Paulo;Guaianazes;FTTH;08421-200;35 / 50 / 100 / 150 / 300 MB
Rua Carapebus;Vila Cosmopolita;São Paulo;Guaianazes;FTTH;08421-080;35 / 50 / 100 / 150 / 300 MB
Rua Deputado Dias Menezes;Vila Cosmopolita;São Paulo;Guaianazes;FTTH;08421-131;35 / 50 / 100 / 150 / 300 MB
Rua Aldeia Maria;Vila Cosmopolita;São Paulo;Guaianazes;FTTH;08421-070;35 / 50 / 100 / 150 / 300 MB
Rua Nolina;Vila Cosmopolita;São Paulo;Guaianazes;FTTH;08421-050;35 / 50 / 100 / 150 / 300 MB
Rua Tanheiro;Vila Cosmopolita;São Paulo;Guaianazes;FTTH;08421-055;35 / 50 / 100 / 150 / 300 MB
